"open","high","low","close","volume","ema26","next1"
739.73,759.11,737.15,753.99,10.13,782.8778127,799.04
753.99,817.56,750,799.04,18.64,784.0750118,808.52
799.04,819.9,771.18,808.52,76.87,785.8857517,827.65
808.52,840,783.02,827.65,33.23,788.9793997,913.93
827.65,980,827.41,913.93,54.92,798.2349997,936.27
898.73,1019,886.44,936.27,75.02,808.4598146,837.02
936.27,945,810,837.02,49.39,810.5753838,824.98
837.02,899.84,788,824.98,19.31,811.6423924,850.29
824.98,870,807.42,850.29,8,814.5051782,857.33
850.29,857.34,817,857.33,8.19,817.6773872,899.84
857.33,918.05,857.17,899.84,18.75,823.7635067,860
899.84,900.94,833,860,25.43,826.4476914,850
860,860,815,850,25.81,828.1923068,831
850,877.29,805,831,31.72,828.4002841,850
831,864,828,850,6.71,830.0002631,826.97
850,865,824,826.97,27.71,829.7757991,804.35
826.97,835.06,788,804.35,26.35,827.8924066,819.51
804.35,844.14,804,819.51,18.78,827.2714876,835
819.51,848.9,819.51,835,11.94,827.84397,843.77
835,855,830.1,843.77,4.45,829.0236759,829.01
843.77,845.99,820.1,829.01,6.9,829.0226629,830.89
829.01,834.53,821,830.89,1.71,829.1609842,830.89
830.89,830.89,821,830.89,11.58,829.2890594,794.93
830.89,836.35,783,794.93,24.52,826.7439439,812.02
794.93,830,794.93,812.02,9.93,825.6532814,826.72
812.02,840,812.02,826.72,6.57,825.7322976,790
826.72,840,790,790,23.97,823.0854607,815.99
790,830,775,815.99,27.48,822.559871,795
815.99,826.23,795,795,18.92,820.5183991,808
795,815.23,787.01,808,27.02,819.5911103,812.19
808,812.63,801,812.19,12.87,819.0428799,825
812.19,835,803.41,825,6.47,819.484148,814.86
825,835,814.86,814.86,7.25,819.1416186,819.78
814.86,819.8,803.65,819.78,7.27,819.1889061,802.4
819.78,819.78,799.58,802.4,11.43,817.9452834,802.69
802.4,815.9,802.4,802.69,10.42,816.8152624,767.61
802.69,803.73,767.61,767.61,39.76,813.1704282,723
767.61,775.21,666.35,723,63.49,806.4911372,693.65
723,730,682.61,693.65,30.6,798.1325344,696.49
693.65,756.1,680.01,696.49,36.77,790.6034578,690.2
696.49,748,550,690.2,31.78,783.1661646,672.6
690.2,720,660,672.6,32.13,774.9760784,670.67
672.6,714.56,651.31,670.67,18.85,767.2497022,623.95
670.67,680,595.63,623.95,44.68,756.6349094,670.34
623.95,710,586.43,670.34,42.45,750.2426939,656.28
670.34,682.78,646.88,656.28,11.81,743.2824944,635.79
656.28,668.82,600,635.79,18.52,735.3200874,638.1
635.79,679.06,593.68,638.1,39.7,728.1185994,636.52
638.1,652.51,623,636.52,20.84,721.333518,630.16
636.52,640,602.91,630.16,13,714.5799241,575.72
630.16,641.36,565.57,575.72,49.97,704.2940038,572.27
575.72,597.05,547.72,572.27,28.37,694.5144479,605.43
572.27,620.9,567.55,605.43,13.24,687.9155999,616.88
605.43,650.28,600.91,616.88,21.05,682.6537036,572
616.88,616.9,540.64,572,29.7,674.457133,522.84
572,572,450,522.84,60.12,663.2262343,593.14
522.84,650,522.84,593.14,105.88,658.0346614,596.49
593.14,629.9,580.5,596.49,45.84,653.4757975,573.94
596.49,599,570,573.94,29.32,647.584257,575
573.94,605,550,575,8.04,642.2076454,578
575,588.08,572.41,578,2.16,637.4515235,669.75
578,700,578,669.75,67.58,639.8440032,680.6
669.75,720,661.48,680.6,27.98,642.8629659,680.99
680.6,690.17,660.01,680.99,5.23,645.6871907,665.66
680.99,693,660.1,665.66,4.39,647.166658,641.48
665.66,680.46,628.73,641.48,13.85,646.7454241,636.01
641.48,667.99,623,636.01,4.22,645.9502075,641.57
636.01,658,629.05,641.57,1.82,645.6257477,642.08
641.57,684.5,630,642.08,6.5,645.3630997,641.82
642.08,665.93,560,641.82,18.36,645.1006479,651.08
641.82,660,550.28,651.08,7.9,645.5435629,653.4
651.08,657.99,620,653.4,4.78,646.1255212,631.24
653.4,654.91,550,631.24,24.79,645.02289,646
631.24,646,618.29,646,3.2,645.0952685,651.95
646,652,639,651.95,7.62,645.6030264,637.73
651.95,651.95,616,637.73,1.91,645.0198392,619.78
637.73,637.73,610.01,619.78,9.05,643.1502215,620
619.78,633.66,612.22,620,4.86,641.4353903,590
620,625.02,590,590,8.49,637.6253614,590
590,615.23,580,590,16.27,634.0975568,572.3
590,596,554.05,572.3,11.84,629.51996,574.22
572.3,596,566.36,574.22,1.31,625.4236667,585.4
574.22,592.54,554.5,585.4,5.69,622.4589506,579.02
585.4,591.15,579,579.02,5.73,619.2412506,585.09
579.02,641.14,579,585.09,13.33,616.7115283,502.78
585.09,599.27,502.78,502.78,34.78,608.2721559,516.48
502.78,553,500,516.48,44.09,601.4727369,514.99
516.48,518,505,514.99,6.11,595.0666083,467.1
514.99,514.99,436.07,467.1,33.23,585.5876002,462.39
467.1,530,443.35,462.39,17.6,576.4618521,490.73
462.39,503.23,462.39,490.73,17.55,570.1113445,443.63
490.73,497.15,443.63,443.63,15.11,560.742356,458.6
443.63,463.7,426.45,458.6,15.54,553.1762556,458.84
458.6,550,440,458.84,21.14,546.1883848,467.85
458.84,467.85,447.57,467.85,0.9441,540.3855415,461.82
467.85,469.44,450,461.82,5.12,534.5658717,462.08
461.82,475.32,450,462.08,7.09,529.1965479,454.39
462.08,465.82,454.38,454.39,3.32,523.6553221,461.09
454.39,462.09,450,461.09,1.27,519.0208538,383.08
461.09,461.09,383.08,383.08,17.11,508.951161,430
383.08,583.75,353.76,430,16.22,503.1029268,448
430,450,429.01,448,10.71,499.0212285,429.79
448,448,407.07,429.79,9.32,493.8929894,459.38
429.79,480.07,411.34,459.38,42.64,491.3364716,523.74
459.38,573.67,450.5,523.74,30.52,493.736733,523.52
523.74,550.8,490.56,523.52,51.73,495.9429009,504.29
523.52,530.36,495.53,504.29,16.15,496.5612046,485.56
504.29,515,477.19,485.56,31.51,495.7463005,504.5
485.56,525.28,479.96,504.5,10.97,496.3947227,504.73
504.49,510,500,504.73,1.54,497.0121507,496.42
504.73,517.31,485,496.42,17.33,496.9682876,489.72
496.42,510.49,484.62,489.72,7.49,496.4313774,495.62
489.72,504.5,489,495.62,7.02,496.3712754,501.95
495.62,501.95,490,501.95,3.58,496.7845143,471.02
501.95,503.48,449,471.02,27.38,494.8760317,463.7
471.02,476.18,456.75,463.7,3.39,492.566696,438.72
463.7,463.7,438.72,438.72,2.91,488.5780519,446.18
438.72,455.09,429.09,446.18,6.12,485.4374555,445.68
446.18,454.62,435.65,445.68,7.31,482.4924588,448.34
445.68,452.82,441.23,448.34,9.06,479.962647,459.32
448.34,464.42,448,459.32,14.51,478.433562,455.16
459.32,459.32,446.49,455.16,7.08,476.7095945,441.04
455.16,455.16,432.43,441.04,8.5,474.0674023,442
441.04,445.4,431.17,442,1.77,471.6920392,429.18
442,442,429.18,429.18,5.66,468.5429992,431.87
429.18,439.69,422.19,431.87,5.75,465.8264808,441.89
431.87,452.74,431.61,441.89,20.36,464.0534081,448.26
441.89,452,441.81,448.26,5.79,462.883526,450.63
448.26,459.22,441.81,450.63,4.04,461.9758574,454.99
450.63,458,446.1,454.99,5.53,461.4583865,441.5
454.99,454.99,432.88,441.5,11.53,459.9799875,440.82
441.5,445.22,432.21,440.82,7.19,458.5607292,440.78
440.82,444.76,436.45,440.78,4.51,457.2436381,445.52
440.78,445.52,440.78,445.52,0.8711,456.3752205,449.59
445.52,449.59,440.89,449.59,3.02,455.8726116,453.83
449.59,453.83,447.1,453.83,5.59,455.721307,453.83
453.83,453.83,446.2,453.83,0.2061,455.5812102,445.56
453.83,453.83,445.56,445.56,2.58,454.8388983,445.56
445.56,445.56,445.56,445.56,0,454.1515725,493.43
445.56,498.84,445.56,493.43,25.28,457.0610857,494.77
493.43,497.67,490.85,494.77,4.24,459.8543386,530
